arr_port^pax^Airport Name
LHR^88809.0^London Heathrow Airport
MCO^70930.0^Orlando International Airport
LAX^70530.0^Los Angeles International Airport
LAS^69630.0^Mc Carran International Airport
JFK^66270.0^John F Kennedy International Airport
CDG^64490.0^Paris - Charles-de-Gaulle
BKK^59460.0^Suvarnabhumi
MIA^58150.0^Miami International Airport
SFO^58000.0^San Francisco International Airport
DXB^55590.0^Dubai International Airport
ORD^53200.0^Chicago O'Hare International Airport
FCO^45120.0^Leonardo da Vinci–Fiumicino Airport
IST^43850.0^Istanbul / Ataturk
DFW^42420.0^Dallas/Fort Worth International Airport
CUN^42000.0^Cancún International Airport
MAD^41410.0^Madrid / Barajas
BCN^41200.0^Barcelona–El Prat Airport
LGA^40712.0^La Guardia Airport
ATL^39780.0^Hartsfield - Jackson Atlanta International Airport
EWR^36890.0^Newark International Airport
BOS^35840.0^General Edward Lawrence Logan International Airport
DEL^35680.0^New Delhi / Palam
SYD^33690.0^Sydney International Airport
BOM^33440.0^Bombay / Santacruz
MUC^33180.0^Munich International Airport
DEN^32630.0^Denver International Airport
MNL^32400.0^Ninoy Aquino Manila International Airport
HKG^32020.0^Hong Kong International Airport
FRA^31970.0^Frankfurt Airport
ORY^31800.0^Paris-Orly
SEA^31530.0^Seattle-Tacoma International Airport
FLL^31170.0^Fort Lauderdale-Hollywood International Airport
TXL^30590.0^Berlin Tegel Airport
AMS^30580.0^Amsterdam Airport Schiphol
PHX^29730.0^Phoenix Sky Harbor International Airport
DCA^29000.0^Ronald Reagan Washington National Airport
MEX^28120.0^Mexico City International Airport
IAH^28090.0^George Bush Intercontinental/Houston Airport
JED^27090.0^Jeddah King Abdul Aziz International Airport
PVG^26630.0^Shanghai Pudong International Airport
YYZ^26070.0^Toronto Pearson Int'L. Ont.
VIE^25750.0^Flughafen Wien-Schwechat
LIS^25050.0^Lisboa / Portela
SIN^24874.0^Singapore Changi Airport
CAI^24640.0^Cairo International Airport
HNL^24140.0^Honolulu International Airport
ATH^24100.0^Athens Eleftherios Venizelos International Airport
MEL^23830.0^Melbourne Airport
SAN^23720.0^San Diego International Airport
JNB^23710.0^Oliver Reginald Tambo International
PEK^23680.0^Beijing Capital International Airport
BOG^23090.0^El Dorado International Airport
PHL^22210.0^Philadelphia International Airport
ARN^21800.0^Stockholm-Arlanda Airport
TPA^21530.0^Tampa International Airport
SVO^21292.0^Sheremetyevo International Airport
BRU^20940.0^Bruxelles National
TLV^20190.0^Ben Gurion Airport
ZRH^20190.0^Zurich-Kloten
LIM^20150.0^Jorge Chávez International Airport
MSP^20030.0^Minneapolis-Saint Paul International Airport
CPH^19740.0^Copenhagen Airport
BNE^19480.0^Brisbane Airport
RUH^19440.0^King Khalid International
IAD^19170.0^Washington Dulles International Airport
ICN^18560.0^Incheon International Airport
DUS^18250.0^Düsseldorf International Airport
KUL^18200.0^Sepang/KL International Airport
DTW^17800.0^Detroit Metropolitan Wayne County Airport
OSL^17000.0^Oslo Airport, Gardermoen
MXP^16950.0^Aeroporto della Malpensa
CLT^16862.0^Charlotte/Douglas International Airport
NRT^16570.0^Narita International Airport
LED^15960.0^Pulkovo Airport
YVR^15920.0^Vancouver International Airport
CPT^15840.0^Cape Town International Airport
MSY^15820.0^Louis Armstrong New Orleans International Airport
HAM^15640.0^Hamburg Airport
PUJ^14960.0^Aeropuerto Internacional Punta Cana
MAA^14940.0^Chennai International Airport
AKL^14940.0^Auckland International Airport
NCE^14880.0^Nice Côte d'Azur International Airport
GVA^14720.0^Aéroport Genève-Cointrin
TPE^14450.0^Taiwan Taoyuan International Airport
HKT^14040.0^Phuket International Airport
YUL^14040.0^Montreal / Pierre Elliot Trudeau International Airport, Que
LIN^14020.0^Milano Linate Airport
PRG^13990.0^Prague Ruzyně International Airport
GRU^13850.0^Guarulhos Airport
PMI^13840.0^Palma de Mallorca Airport
TUN^13830.0^Tunis-Carthage
SJU^13730.0^Luis Munoz Marin International Airport
DME^13600.0^Domodedovo International Airport
BWI^13590.0^Baltimore-Washington International Airport
SLC^13530.0^Salt Lake City International Airport
BLR^13490.0^Bengaluru International Airport
PER^13300.0^Perth Airport
DUB^12900.0^Dublin Airport
STL^12760.0^Lambert–St. Louis International Airport
DPS^12740.0^Ngurah-Rai Airport
SGN^12700.0^Tan Son Nhat International Airport
PDX^12550.0^Portland International Airport
DAC^12420.0^Kurmitola, Dia
RSW^12310.0^Southwest Florida International Airport
AMM^12310.0^Queen Alia International
VCE^12030.0^Marco Polo Airport
HEL^11930.0^Helsinki-Vantaa Airport
MRU^11820.0^Sir Seewoosagur Ramgoolam International Airport
DOH^11810.0^Doha International Airport
SCL^11760.0^Aeropuerto Arturo Merino Benítez
CAN^11730.0^Guangzhou
CMN^11720.0^Mohammed V International Airport
RDU^11530.0^Raleigh-Durham International Airport
AGP^11520.0^Málaga Airport
AUS^11480.0^Austin-Bergstrom International Airport
HYD^11410.0^Rajiv Gandhi International Airport
EZE^11360.0^Ministro Pistarini Airport
CMB^11230.0^Bandaranayake International Air Port
WAW^11200.0^Warsaw Chopin Airport
BEY^10950.0^Beirut International Airport
SAT^10780.0^San Antonio International Airport
CGK^10640.0^Soekarno–Hatta International Airport
ALG^10610.0^Algiers Houari Boumediene Airport
COK^10490.0^Cochin International Airport
PIT^10430.0^Pittsburgh International Airport
BUD^10420.0^Budapest / Ferihegy
MBJ^10390.0^Sangster International Airport
GIG^10380.0^Rio de Janeiro-Galeão International Airport
SNA^10360.0^John Wayne-Orange County Airport
MCI^9910.0^Kansas City International Airport
YYC^9810.0^Calgary International, Alta.
MRS^9650.0^Marseille Provence Airport
MAN^9540.0^Manchester Airport
OGG^9040.0^Kahului Airport
CCU^8990.0^Netaji Subhas Chandra Bose International Airport
BNA^8980.0^Nashville International Airport
PBI^8910.0^Palm Beach International
NBO^8740.0^Nairobi/Jomo Kenyatta Airport TWR/APP/NOF/Civil Airlines
LYS^8590.0^Lyon-Saint-Exupéry
AUH^8560.0^Abu Dhabi International Airport
UIO^8550.0^Mariscal Sucre International Airport
KBP^8490.0^Kiev Boryspil International Airport
LGW^8380.0^London / Gatwick Airport
SJC^8280.0^San Jose International Airport
IND^8240.0^Indianapolis International Airport
ISB^8160.0^Benazir Bhutto International Airport
TLS^8160.0^Toulouse-Blagnac Airport
GDL^8150.0^Don Miguel Hipalgo International
AEP^8010.0^Jorge Newbery Airport
PTY^7910.0^Tocumen International Airport
OTP^7900.0^Henri Coandă International Airport
CCS^7800.0^Maiquetia
SDQ^7770.0^Las Américas International Airport
JAX^7690.0^Jacksonville International Airport
USM^7670.0^Koh Samui Airport
SJO^7590.0^Juan Santamaría International Airport
ADL^7570.0^Adelaide Airport
CMH^7480.0^Port Columbus International Airport
CLE^7440.0^Cleveland-Hopkins International Airport
STR^7410.0^Stuttgart
KWI^7380.0^Kuwait Internationalairport
LCY^7300.0^London City Airport
CTA^7300.0^Aeroporto di Catania-Fontanarossa
MKE^7230.0^General Mitchell International Airport
LHE^7200.0^Allama Iqbal International Airport
MLA^7120.0^Luqa
DMM^7100.0^King Fahd International Airport
SJD^7080.0^San Jose Del Cabo
DUR^6950.0^King Shaka International Airport
HAV^6910.0^José Martí International Airport
GYE^6830.0^Guayaquil / Simon Bolivar
NAS^6680.0^Nassau International Airport
TRV^6640.0^Trivandrum International Airport
KOA^6620.0^Kona International Airport
MDE^6540.0^José María Córdova International Airport
KTM^6500.0^Tribhuwan Airport
CTG^6440.0^Aeropuerto Internacional de Crespo
MCT^6420.0^Maţār as Sīb ad Duwalī
CVG^6390.0^Cincinnati-Northern Kentucky International Airport
BLQ^6370.0^"Aeroporto di Bologna ""Guglielmo Marconi"" - Terminal B"
OPO^6350.0^Francisco de Sá Carneiro Airport
PVR^6280.0^Licenciado Gustaavo Diaz Ordaz International
MEM^6230.0^Memphis International Airport
BDL^6190.0^Bradley International Airport
BGO^6140.0^Bergen / Flesland
CCJ^6070.0^Calicut International Airport
SMF^6040.0^Sacramento International Airport
CLO^6010.0^Cali / Alfonso Bonillaaragon
AUA^5970.0^Koningin Beatrix Luchthaven
TFN^5900.0^Tenerife North Airport
ADD^5880.0^Addis Ababa Bole International Airport
KEF^5810.0^Keflavík International Airport
LPA^5780.0^Gran Canaria Airport
BAH^5740.0^Bahrain International Airport
FLR^5720.0^Florence Peretola Airport
BEG^5560.0^Belgrade Nikola Tesla Airport
CHC^5410.0^Christchurch International Airport
MLE^5400.0^Malé International Airport
SAL^5370.0^Aeropuerto Internacional El Salvador
CGN^5260.0^Cologne/Bonn
EDI^5240.0^Edinburgh Airport
AMD^5200.0^Ahmadabad
AYT^5170.0^Antalya
VLC^5110.0^Valencia Airport
SKG^5100.0^Thessaloniki Airport
GOT^5070.0^Gothenburg-Landvetter Airport
HAN^4970.0^Ha Noi
RAK^4970.0^Marrakesh Menara Airport
SVG^4960.0^Stavanger Airport, Sola
ANC^4940.0^Anchorage International Airport
SOF^4920.0^Sofia Airport
LIH^4900.0^Lihue Airport
KHI^4890.0^Karachi Airport
HAJ^4830.0^Hannover-Langenhagen Airport
BUF^4820.0^Greater Buffalo International Airport
